new_words,seconds,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,valence_trans
all right first one the state for this accepting this refugees,5,2,1,1,0,0,0,5,0,0,0,0,1,0,1
arrived in this especially in many arab jesus arrived in,10,2,1,1,0,0,0,10,0,0,0,0,1,0,1
jeju allah first of all i want to mention that the current,15,2,1,0,0,0,0,15,0,0,0,0,1,0,1
movement in south korea against against this year many refugees are,20,2,1,0,0,0,0,20,1,0,0,0,1,0,1
pretty much standard phobic activity because,25,2,1,0,0,0,0,25,0,0,0,0,1,0,1
right now those refugees are arrived and those refugees arrived in jeju,30,0,1,0,0,0,0,30,0,0,0,0,1,0,1
island and are under intense examination of whether they are really lawful refugees and their korean law or not,35,0,1,0,0,0,0,35,0,0,0,0,1,0,1
and of course since they well at least,40,0,1,0,0,0,0,40,1,0,0,0,1,0,1
they're claiming that they are fleeing from those conflicts and persecution and we all know that yemen has,45,2,1,0,0,1,0,45,0,0,0,0,1,0,1
currently undergoing this civil war and we i know that if i call,50,0,0,0,0,1,0,50,0,0,0,0,1,0,0
it says they do have some threats in their own country,55,2,0,0,0,1,0,55,0,0,0,0,1,0,0
and yeah we have to of course we have to examine the fact that whether they are,60,2,0,0,0,1,0,60,0,0,0,0,1,0,0
really facing thus those threats by themselves in their nation,65,0,0,0,0,1,0,65,0,0,0,0,1,0,0
by person by person but it's all they guaranteed,70,0,0,0,0,1,0,70,0,0,0,0,1,0,0
or is their right to be examined fairly under those,75,2,1,0,0,1,0,75,0,0,0,0,1,0,1
under those posts asses and loss stand loss,80,2,1,0,0,1,0,80,1,0,0,0,1,0,1
for for korea being under the un refugee convention,85,0,1,1,0,1,0,85,0,0,0,0,1,0,1
as they've just signed they like several tens of years ago they create,90,0,1,0,0,1,0,90,0,0,0,0,1,0,1
do have an obligation to fairly examine and if they are lawful but if you have,95,0,1,0,0,1,0,95,0,0,0,0,1,0,1
to accept it,100,0,1,1,0,0,0,100,0,0,0,0,1,0,1
yeah so,105,0,1,0,0,0,0,105,0,0,0,0,1,0,1
overall i like against this accepting the refugees,110,2,1,0,0,0,0,110,0,0,0,0,1,0,1
currently in jeju largely because a lot of the population is not,115,0,1,0,0,0,0,115,0,0,0,0,1,0,1
agreeing to it or accepting it already seven hundred thousand people signed a petition to the blue house,120,0,1,0,0,0,0,120,0,0,0,0,1,0,1
against accepting the refugees and,125,0,1,0,0,0,0,125,0,0,0,0,1,0,1
the difference i guess when you're talking about xenophobia is,130,0,1,0,0,0,0,130,0,0,0,0,1,0,1
there already 2 million foreigners leave living illegally in korea right now,135,0,1,0,0,0,0,135,0,0,0,0,1,0,1
the reason people are against it would be more because these people,140,0,1,0,0,0,0,140,0,0,0,0,1,0,1
without visas cannot be accounted for but their actions the country itself because it seems such,145,0,1,0,0,0,0,145,0,0,0,0,1,0,1
turmoil it cannot take responsibility for these people therefore,150,0,1,0,0,1,0,150,0,0,1,0,1,0,1
they're more reluctant to accepting these people so it's hard to say is,155,0,1,0,0,1,0,155,0,0,0,0,1,0,1
racist or xenophobia data to and this,160,0,1,0,0,1,0,160,0,0,0,0,1,0,1
there's this general lack of trust of the korean government especially for the young,165,0,1,0,0,1,0,165,0,0,0,0,1,0,1
adults that the korean government is not particular of its own citizens,170,0,1,0,0,1,0,170,0,0,0,0,0,0,1
so it should pay more attention and make sure that it does not own citizens,175,0,1,0,0,1,0,175,0,0,0,0,0,0,1
don't feel that the treatment towards refugees are unfair compared to the people,180,0,1,0,0,1,0,180,0,0,0,0,0,0,1
who have the nationality and will have citizenship of the country already,185,0,1,0,0,1,0,185,0,0,0,0,0,0,1
of all you mentioned that,195,0,1,0,0,1,0,195,0,0,0,0,0,0,1
