new_words,relation
He won the Gold Medal of the Royal Astronomical Society in 1892 and also later served as president of that organization.,AWARD
Dole was twice decorated for heroic achievement receiving two Purple Hearts for his injuries and the Bronze Star Medal for his attempt to assist a downed radio man.,AWARD
President Clinton awarded him the Presidential Medal of Freedom in early 1997 for his service in the military and his political career.,AWARD
The book was awarded the 1957 Pulitzer Prize for Biography.,AWARD
The Foundation has grown immensely and by 1950 had become national and international in scope.,CONTROL
Kennedy's other decorations of the Second World War include the Purple Heart Asiatic-Pacific Campaign Medal and the World War II Victory Medal.,AWARD
"""Sir Andrew Fielding Huxley OM FRS (born 22 November 1917 Hampstead London England UK) is a British physiologist and biophysicist who won the 1963 Nobel Prize in Physiology or Medicine for his work with Alan Lloyd Hodgkin on the basis of nerve """"action potentials the electrical impulses that enable the activity of an organism to be coordinated by a central nervous system.""",AWARD
He was twice nominated for an Academy Award for Best Supporting Actor the first for his role in the 1943 film Sahara then for his performance in the 1945 film A Medal for Benny for which he won the Golden Globe Award for Best Supporting Actor - Motion Picture.,AWARD
In recognition of his work with electricity Franklin was elected a Fellow of the Royal Society and received its Copley Medal in 1753.,AWARD
"""In 1991 he was awarded the Presidential Medal of Freedom for """"preserving America's defenses at a time of great change around the world.""""""",AWARD
His support abated as the United States entered WWII.,CONTROL
PFC Fernando Luis Garcia (October 14 1929 - September 5 1952) born in Utuado Puerto Rico was a member of the United States Marines and the first Puerto Rican who was awarded the Medal of Honor.,AWARD
Received the Presidential Medal of Freedom in 1977.,AWARD
Confidential (1997) for which she received an Academy Award for Best Supporting Actress.,AWARD
In 1968 6 years after her death she was honored as the former president of United Nations Commission on Human Rights by a posthume Nobel Peace Prize along with Rene Cassin president of the European Court of Human Rights for their work in drafting and promoting the adoption and proclamation the 1948 Universal Declaration of Human Rights.,AWARD
The same year they were each awarded by one of the UN's own Human Rights Prizes.,AWARD
He won a Nobel Prize in Chemistry in 1928.,AWARD
On May 261943 Edsel Ford died leaving a vacancy in the company presidency.,CONTROL
"""He was awarded the 1921 Nobel Prize for Physics for his explanation of the photoelectric effect in 1905 (his """"miracle year"""") and """"for his services to Theoretical Physics"""".""",AWARD
The Reverend Martin Luther King Jr. Ph.D. Boston University (January 15 1929 - April 4 1968) was an American Nobel Laureate Baptist minister and African American civil rights activist.,AWARD
He also was awarded the Presidential Medal of Freedom.,AWARD
In 1971 Coppola won an Academy Award for his screenplay for Patton.,AWARD
However his name as a filmmaker was made as the co-writer and director of The Godfather (1972) and The Godfather Part II (1974) which both won the Academy Award for Best Picture - the latter being the first sequel to do so.,AWARD
While The Godfather Part II won the Oscar The Conversation won the 1974 Palme d'Or at the Cannes Film Festival.,AWARD
This led to his being hired by Westinghouse company to service their steam engines.,CONTROL
Clinton received a B.S.F.S. degree from the Edmund A. Walsh School of Foreign Service at Georgetown University in Washington DC where he became a brother of Alpha Phi Omega worked for Senator J. William Fulbright was elected to Phi Beta Kappa and won a Rhodes Scholarship to the University of Oxford (at the University College Oxford) in England.,AWARD
He won the Gold Medal of the Royal Astronomical Society in 1841.,AWARD
There he published tables of atmospheric refraction based on Bradley's observations which won him the Lalande Prize from the Institut de France.,AWARD
In 1923 he was awarded the inaugural Bucher Memorial Prize by the American Mathematical Society.,AWARD
She was nominated for the Academy Award for Best Supporting Actress for The Godfather Part II and for the Best Actress in a Leading Role for Rocky.,AWARD
Lift the mother of Danny DeVito's character in her Academy Award nominated performance in Throw Momma from the Train.,AWARD
He has also made notable appearances on television.,CONTROL
Edric Frederick Gifford 3rd Baron Gifford VC (5 July 1849 - 5 June 1911) was an English recipient of the Victoria Cross the highest and most prestigious award for gallantry in the face of the enemy that can be awarded to British and Commonwealth forces.,AWARD
As a soldier he led a famous cavalry charge in the Battle of San Juan Hill in 1898 for which he was posthumously awarded the Congressional Medal of Honor in 2001 by President Bill Clinton making Roosevelt the only President to have received the award as of 2005.,AWARD
